1.000000000000000000e+00 1.511953532384943788e+00
1.389495494373137685e+00 1.917593014040659849e+00
1.930697728883250086e+00 2.453825038563573369e+00
2.682695795279725459e+00 3.105660826998776880e+00
3.727593720314939851e+00 3.786991659495109630e+00
5.179474679231209855e+00 4.554801073796805433e+00
7.196856730011519154e+00 5.358027714211835324e+00
1.000000000000000000e+01 6.194191470966964985e+00
1.389495494373137419e+01 6.981716210988513360e+00
1.930697728883249553e+01 7.647584779981051462e+00
2.682695795279724749e+01 8.338629491510531011e+00
3.727593720314939674e+01 8.887474649881852429e+00
5.179474679231209677e+01 9.351607047895036828e+00
7.196856730011518266e+01 9.714411852606968267e+00
1.000000000000000000e+02 9.997516190995767715e+00
